,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,split5_test_max_error,split6_test_max_error,split7_test_max_error,split8_test_max_error,split9_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error
0,0.02862694263458252,0.0008899319553224685,0.020655727386474608,0.005035315104687078,kd_tree,20,3,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-1.4050708085883967,-0.7474965737779808,-1.2968828993452108,-1.2824577432617634,-1.3684635297700625,-1.1154408405664686,-1.116400182731841,-1.141708542713568,-1.411298918836607,-1.662616110857317,-1.2547836150449219,0.2318543622591623,2,-5.092196842799856,-1.1079315009390385,-2.9424802243540933,-3.497118166590529,-3.9864070351758807,-2.553333840921781,-2.594835795137303,-2.53449571087762,-4.825784477945281,-6.753271407542764,-3.588785500228415,1.5399629595837818,2,-14.066666666666668,-7.666666666666666,-8.566666666666666,-10.26666666666667,-16.7,-15.36666666666667,-6.933333333333332,-8.766666666666666,-14.100000000000001,-22.16666666666667,-12.46,4.615693038127886,1
1,0.028187489509582518,0.0007352510420167278,0.020662951469421386,0.005106441968456786,kd_tree,20,3,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-1.399308211450019,-0.7515056712856204,-1.292290961068598,-1.2485554112489101,-1.3715177192471963,-1.2044370691980544,-1.1136949906780056,-1.1548162801280535,-1.407794435421988,-1.6662471189783306,-1.2610167868704774,0.22671760734870408,8,-5.131115104352604,-1.1181649819035364,-2.935169878958978,-3.1901326576293654,-4.0014548056929495,-2.8626906121775737,-2.593107343684054,-2.6069237002135255,-4.802595418641684,-6.774144984272555,-3.6015499487526825,1.5277447888848055,5,-14.067907304643473,-7.65146448557838,-8.570371638232166,-10.268758328379288,-16.71803696341599,-15.364589033071091,-6.937354733892871,-8.864981698990348,-14.047745259374405,-22.138455575052127,-12.462966502063015,4.60242068294694,4
2,0.028333568572998048,0.0007940776454198589,0.021087002754211426,0.005239223608245325,kd_tree,20,5,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",-1.4386203746002741,-0.7285746916400182,-1.280808588396528,-1.3094472361809046,-1.3564641388761993,-1.0756281407035175,-1.1005299223389675,-1.1298492462311558,-1.5010232983097305,-1.7014527181361354,-1.2622398355413431,0.25608337004100323,10,-5.281567656464137,-1.0672665600730928,-2.822856692553677,-3.7579396071265427,-3.9346208314298776,-2.586480447693011,-2.515638373686615,-2.4719312928277755,-5.495720237551391,-7.116719597989951,-3.7050741297396073,1.7120030213699662,11,-13.74,-8.0,-8.299999999999999,-11.120000000000001,-17.2,-14.32,-6.98,-8.2,-14.18,-23.640000000000004,-12.568000000000001,4.925145277045136,10
3,0.02922959327697754,0.00046675483326030613,0.021940898895263673,0.005260431820201561,kd_tree,20,5,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",-1.4319569460331727,-0.7311165488544031,-1.2733076089288788,-1.2754768027756669,-1.356020831824157,-1.107240049081908,-1.100582948013398,-1.132077052428908,-1.493712310701101,-1.6963606849817185,-1.2597851783623313,0.25081244583951007,4,-5.271695568098529,-1.0753113506827168,-2.7928894546517555,-3.381831581234699,-3.9332962445089534,-2.6330984399283253,-2.523155159289695,-2.5117666920099007,-5.447388411076459,-7.076126268008842,-3.6646559169489876,1.6944606573586334,8,-13.630507580860037,-7.976950384865896,-8.073954362072786,-11.103305308347274,-17.175139517496778,-14.477534323807959,-6.976464671680633,-8.273233836249815,-14.14578086527911,-23.591279147254063,-12.542414999791436,4.930783963579473,7
4,0.02973804473876953,0.0018355786148420302,0.02314867973327637,0.005141744320452621,kd_tree,20,7,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",-1.5639235136722573,-0.719551654375775,-1.2742524309860994,-1.2934738628205966,-1.3331397245970111,-1.056411929778764,-1.1014161717679305,-1.1191411603471906,-1.4677021470991318,-1.7829472035502187,-1.2711959798994976,0.2815893415275319,16,-7.383078425522787,-1.0082677254547319,-2.8064057103700315,-3.4687668863799526,-3.874882622761302,-2.5498322316592237,-2.517070510250697,-2.4538997398868183,-5.311942085194058,-7.6990114766783835,-3.907315741415798,2.1006827129996974,17,-14.328571428571427,-7.6,-8.314285714285711,-12.042857142857141,-17.17142857142857,-15.142857142857146,-7.7857142857142865,-8.185714285714285,-13.542857142857143,-24.342857142857145,-12.845714285714285,5.048494623071682,16
5,0.029239296913146973,0.0004439658325866402,0.022861003875732422,0.005658358917326436,kd_tree,20,7,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",-1.5397267453018504,-0.7217594526978935,-1.2653011265928964,-1.2791907187701264,-1.3268671281876212,-1.0593687529247828,-1.098361902471152,-1.1164748849442108,-1.4599452057555347,-1.7742322817043583,-1.2641228199350427,0.2764126835360799,13,-6.9872108479922135,-1.0184238840632833,-2.761291749837421,-3.365697585655995,-3.84239125074352,-2.494592645444789,-2.5189175435361166,-2.475210265567401,-5.277236235090383,-7.619180649021817,-3.836015265695294,2.0253526681802687,14,-14.077598506212013,-7.653414051369127,-8.12415832582689,-12.025801369438767,-17.138658401144113,-15.128139521873063,-7.781580781919301,-8.251533264045444,-13.553804205110158,-24.294531676452976,-12.802922010339184,5.033807197956709,13
6,0.029244112968444824,0.00044154784912433956,0.021055173873901368,0.005584058700633162,kd_tree,30,3,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-1.4050708085883967,-0.7474965737779808,-1.2968828993452108,-1.2824577432617634,-1.3684635297700625,-1.1154408405664686,-1.116400182731841,-1.141708542713568,-1.411298918836607,-1.662616110857317,-1.2547836150449219,0.2318543622591623,2,-5.092196842799856,-1.1079315009390385,-2.9424802243540933,-3.497118166590529,-3.9864070351758807,-2.553333840921781,-2.594835795137303,-2.53449571087762,-4.825784477945281,-6.753271407542764,-3.588785500228415,1.5399629595837818,2,-14.066666666666668,-7.666666666666666,-8.566666666666666,-10.26666666666667,-16.7,-15.36666666666667,-6.933333333333332,-8.766666666666666,-14.100000000000001,-22.16666666666667,-12.46,4.615693038127886,1
7,0.028916406631469726,0.00063135439137183,0.0209397554397583,0.005143041034991297,kd_tree,30,3,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-1.399308211450019,-0.7515056712856204,-1.292290961068598,-1.2485554112489101,-1.3715177192471963,-1.2044370691980544,-1.1136949906780056,-1.1548162801280535,-1.407794435421988,-1.6662471189783306,-1.2610167868704774,0.22671760734870408,8,-5.131115104352604,-1.1181649819035364,-2.935169878958978,-3.1901326576293654,-4.0014548056929495,-2.8626906121775737,-2.593107343684054,-2.6069237002135255,-4.802595418641684,-6.774144984272555,-3.6015499487526825,1.5277447888848055,5,-14.067907304643473,-7.65146448557838,-8.570371638232166,-10.268758328379288,-16.71803696341599,-15.364589033071091,-6.937354733892871,-8.864981698990348,-14.047745259374405,-22.138455575052127,-12.462966502063015,4.60242068294694,4
8,0.029041552543640138,0.0006592352131140884,0.02173740863800049,0.005310282986419495,kd_tree,30,5,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",-1.4386203746002741,-0.7285746916400182,-1.280808588396528,-1.3094472361809046,-1.3564641388761993,-1.0756281407035175,-1.1005299223389675,-1.1298492462311558,-1.5010232983097305,-1.7014527181361354,-1.2622398355413431,0.25608337004100323,10,-5.281567656464137,-1.0672665600730928,-2.822856692553677,-3.7579396071265427,-3.9346208314298776,-2.586480447693011,-2.515638373686615,-2.4719312928277755,-5.495720237551391,-7.116719597989951,-3.7050741297396073,1.7120030213699662,11,-13.74,-8.0,-8.299999999999999,-11.120000000000001,-17.2,-14.32,-6.98,-8.2,-14.18,-23.640000000000004,-12.568000000000001,4.925145277045136,10
9,0.02915971279144287,0.0005923927096268782,0.022254204750061034,0.005598199223274699,kd_tree,30,5,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",-1.4319569460331727,-0.7311165488544031,-1.2733076089288788,-1.2754768027756669,-1.356020831824157,-1.107240049081908,-1.100582948013398,-1.132077052428908,-1.493712310701101,-1.6963606849817185,-1.2597851783623313,0.25081244583951007,4,-5.271695568098529,-1.0753113506827168,-2.7928894546517555,-3.381831581234699,-3.9332962445089534,-2.6330984399283253,-2.523155159289695,-2.5117666920099007,-5.447388411076459,-7.076126268008842,-3.6646559169489876,1.6944606573586334,8,-13.630507580860037,-7.976950384865896,-8.073954362072786,-11.103305308347274,-17.175139517496778,-14.477534323807959,-6.976464671680633,-8.273233836249815,-14.14578086527911,-23.591279147254063,-12.542414999791436,4.930783963579473,7
